"State","Urban_Rural","sex","worker_type","Disablity_Type","dis_worker_dist","worker_count","worker_total","worker_dist"
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","Multiple disability",0.00823045267489712,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","In Hearing",0.0108108108108108,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","Any Other",0.0226244343891403,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","In Speech",0.00684931506849315,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","Mental Illness",0.00636942675159236,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","Mental Retardation",0,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","In Movement",0.00238663484486874,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","In Seeing",0.017156862745098,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Agricultural labourers","Total disabled population",0.0102639296187683,1006,110806,0.00907893074382254
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","Multiple disability",0.00823045267489712,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","In Hearing",0.0513513513513514,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","Any Other",0.0226244343891403,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","In Speech",0.0342465753424658,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","Mental Illness",0.0127388535031847,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","Mental Retardation",0.0365853658536585,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","In Movement",0.0143198090692124,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","In Seeing",0.0147058823529412,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Cultivators","Total disabled population",0.0234604105571848,3821,110806,0.0344836922188329
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","Multiple disability",0,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","In Hearing",0.0216216216216216,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","Any Other",0,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","In Speech",0.00684931506849315,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","Mental Illness",0.0127388535031847,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","Mental Retardation",0,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","In Movement",0.00715990453460621,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","In Seeing",0.017156862745098,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","HHI workers","Total disabled population",0.0102639296187683,1307,110806,0.0117953901413281
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Non-workers","Multiple disability",0.938271604938272,91007,110806,0.821318340162085
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Non-workers","In Hearing",0.8,91007,110806,0.821318340162085
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Non-workers","Any Other",0.855203619909502,91007,110806,0.821318340162085
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Non-workers","In Speech",0.883561643835616,91007,110806,0.821318340162085
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Non-workers","Mental Illness",0.910828025477707,91007,110806,0.821318340162085
"ANDAMAN & NICOBAR ISLANDS","Rural","F","Non-workers","Mental Retardation",0.890243902439024,91007,110806,0.821318340162085
