"State","sex","Urban_Rural","Disablity_Type","dis_ill_lit","ill_lit"
"ANDAMAN & NICOBAR ISLANDS","F","Rural","In Movement",0.477326968973747,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Total disabled population",0.459921798631476,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Mental Illness",0.452229299363057,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Mental Retardation",0.524390243902439,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","In Seeing",0.475490196078431,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Any Other",0.32579185520362,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","In Speech",0.321917808219178,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","In Hearing",0.443243243243243,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Multiple disability",0.617283950617284,0.295480389148602
"ANDAMAN & NICOBAR ISLANDS","F","Total","In Movement",0.434545454545455,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","Total disabled population",0.417649160414434,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","Mental Illness",0.447761194029851,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","Mental Retardation",0.470149253731343,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","In Seeing",0.446502057613169,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","Any Other",0.28735632183908,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","In Speech",0.293023255813953,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","In Hearing",0.381981981981982,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Total","Multiple disability",0.596774193548387,0.269011310562152
"ANDAMAN & NICOBAR ISLANDS","F","Urban","In Movement",0.297709923664122,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Total disabled population",0.302788844621514,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Mental Illness",0.431818181818182,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Mental Retardation",0.384615384615385,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","In Seeing",0.294871794871795,0.225173382757384
