"State","sex","Urban_Rural","status","Disability_Type","dis_mar_count","dis_mar_total","dis_mar_perc","mar_count","mar_total","mar_perc"
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","Multiple Disability",0,243,0,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","Total disabled population",10,2046,0.00488758553274682,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","In Hearing",1,370,0.0027027027027027,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","In Movement",3,419,0.00715990453460621,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","Any Other",3,221,0.0135746606334842,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","In Speech",1,146,0.00684931506849315,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","In Seeing",1,408,0.00245098039215686,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","Mental Illness",0,157,0,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Divorced","Mental Retardation",1,82,0.0121951219512195,165,110806,0.00148908903849972
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","Mental Retardation",21,82,0.25609756097561,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","In Speech",50,146,0.342465753424658,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","Any Other",83,221,0.375565610859729,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","Multiple Disability",58,243,0.238683127572016,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","Mental Illness",56,157,0.356687898089172,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","In Seeing",190,408,0.465686274509804,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","Total disabled population",814,2046,0.397849462365591,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","In Hearing",181,370,0.489189189189189,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Married","In Movement",175,419,0.417661097852029,56803,110806,0.512634694872119
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","Any Other",112,221,0.506787330316742,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","In Speech",84,146,0.575342465753425,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","Multiple Disability",124,243,0.510288065843621,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","Mental Retardation",57,82,0.695121951219512,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","In Hearing",85,370,0.22972972972973,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","In Movement",139,419,0.331742243436754,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","Total disabled population",754,2046,0.36852394916911,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","Mental Illness",72,157,0.45859872611465,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","NeverMarried","In Seeing",81,408,0.198529411764706,45012,110806,0.406223489702724
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","Mental Retardation",0,82,0,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","Multiple Disability",3,243,0.0123456790123457,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","In Speech",2,146,0.0136986301369863,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","In Seeing",3,408,0.00735294117647059,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","In Hearing",3,370,0.00810810810810811,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","In Movement",4,419,0.00954653937947494,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","Total disabled population",27,2046,0.0131964809384164,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","Any Other",5,221,0.0226244343891403,629,110806,0.00567658791040196
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Seperated","Mental Illness",7,157,0.0445859872611465,629,110806,0.00567658791040196
