"City","State","Age_Group","Disability","variable","Disabled_Count","sex"
"Srinagar","JAMMU & KASHMIR","Total","Total","Disab_P_TotDisab",27832,"All"
"Srinagar","JAMMU & KASHMIR","0-14","Total","Disab_P_TotDisab",5082,"All"
"Srinagar","JAMMU & KASHMIR","15-59","Total","Disab_P_TotDisab",17271,"All"
"Srinagar","JAMMU & KASHMIR","60+","Total","Disab_P_TotDisab",5449,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","Total","Disab_P_TotDisab",30,"All"
"Srinagar","JAMMU & KASHMIR","Total","In-Seeing","Disab_P_TotDisab",5677,"All"
"Srinagar","JAMMU & KASHMIR","0-14","In-Seeing","Disab_P_TotDisab",1264,"All"
"Srinagar","JAMMU & KASHMIR","15-59","In-Seeing","Disab_P_TotDisab",3264,"All"
"Srinagar","JAMMU & KASHMIR","60+","In-Seeing","Disab_P_TotDisab",1145,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","In-Seeing","Disab_P_TotDisab",4,"All"
"Srinagar","JAMMU & KASHMIR","Total","In-Hearing","Disab_P_TotDisab",6805,"All"
"Srinagar","JAMMU & KASHMIR","0-14","In-Hearing","Disab_P_TotDisab",1359,"All"
"Srinagar","JAMMU & KASHMIR","15-59","In-Hearing","Disab_P_TotDisab",4089,"All"
"Srinagar","JAMMU & KASHMIR","60+","In-Hearing","Disab_P_TotDisab",1348,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","In-Hearing","Disab_P_TotDisab",9,"All"
"Srinagar","JAMMU & KASHMIR","Total","In-Speech","Disab_P_TotDisab",1309,"All"
"Srinagar","JAMMU & KASHMIR","0-14","In-Speech","Disab_P_TotDisab",296,"All"
"Srinagar","JAMMU & KASHMIR","15-59","In-Speech","Disab_P_TotDisab",878,"All"
"Srinagar","JAMMU & KASHMIR","60+","In-Speech","Disab_P_TotDisab",135,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","In-Speech","Disab_P_TotDisab",0,"All"
"Srinagar","JAMMU & KASHMIR","Total","In-Movement","Disab_P_TotDisab",2927,"All"
"Srinagar","JAMMU & KASHMIR","0-14","In-Movement","Disab_P_TotDisab",289,"All"
"Srinagar","JAMMU & KASHMIR","15-59","In-Movement","Disab_P_TotDisab",1846,"All"
"Srinagar","JAMMU & KASHMIR","60+","In-Movement","Disab_P_TotDisab",790,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","In-Movement","Disab_P_TotDisab",2,"All"
"Srinagar","JAMMU & KASHMIR","Total","Mental-Retardation","Disab_P_TotDisab",1871,"All"
"Srinagar","JAMMU & KASHMIR","0-14","Mental-Retardation","Disab_P_TotDisab",381,"All"
"Srinagar","JAMMU & KASHMIR","15-59","Mental-Retardation","Disab_P_TotDisab",1336,"All"
"Srinagar","JAMMU & KASHMIR","60+","Mental-Retardation","Disab_P_TotDisab",152,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","Mental-Retardation","Disab_P_TotDisab",2,"All"
"Srinagar","JAMMU & KASHMIR","Total","Mental-Illness","Disab_P_TotDisab",1228,"All"
"Srinagar","JAMMU & KASHMIR","0-14","Mental-Illness","Disab_P_TotDisab",135,"All"
"Srinagar","JAMMU & KASHMIR","15-59","Mental-Illness","Disab_P_TotDisab",914,"All"
"Srinagar","JAMMU & KASHMIR","60+","Mental-Illness","Disab_P_TotDisab",176,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","Mental-Illness","Disab_P_TotDisab",3,"All"
"Srinagar","JAMMU & KASHMIR","Total","Any-Other","Disab_P_TotDisab",5709,"All"
"Srinagar","JAMMU & KASHMIR","0-14","Any-Other","Disab_P_TotDisab",956,"All"
"Srinagar","JAMMU & KASHMIR","15-59","Any-Other","Disab_P_TotDisab",3675,"All"
"Srinagar","JAMMU & KASHMIR","60+","Any-Other","Disab_P_TotDisab",1068,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","Any-Other","Disab_P_TotDisab",10,"All"
"Srinagar","JAMMU & KASHMIR","Total","Multiple-Disability","Disab_P_TotDisab",2306,"All"
"Srinagar","JAMMU & KASHMIR","0-14","Multiple-Disability","Disab_P_TotDisab",402,"All"
"Srinagar","JAMMU & KASHMIR","15-59","Multiple-Disability","Disab_P_TotDisab",1269,"All"
"Srinagar","JAMMU & KASHMIR","60+","Multiple-Disability","Disab_P_TotDisab",635,"All"
"Srinagar","JAMMU & KASHMIR","Age not stated","Multiple-Disability","Disab_P_TotDisab",0,"All"
"Amritsar","PUNJAB","Total","Total","Disab_P_TotDisab",28119,"All"
"Amritsar","PUNJAB","0-14","Total","Disab_P_TotDisab",5177,"All"
"Amritsar","PUNJAB","15-59","Total","Disab_P_TotDisab",18837,"All"
"Amritsar","PUNJAB","60+","Total","Disab_P_TotDisab",4080,"All"
"Amritsar","PUNJAB","Age not stated","Total","Disab_P_TotDisab",25,"All"
"Amritsar","PUNJAB","Total","In-Seeing","Disab_P_TotDisab",3086,"All"
"Amritsar","PUNJAB","0-14","In-Seeing","Disab_P_TotDisab",642,"All"
"Amritsar","PUNJAB","15-59","In-Seeing","Disab_P_TotDisab",1880,"All"
"Amritsar","PUNJAB","60+","In-Seeing","Disab_P_TotDisab",562,"All"
"Amritsar","PUNJAB","Age not stated","In-Seeing","Disab_P_TotDisab",2,"All"
"Amritsar","PUNJAB","Total","In-Hearing","Disab_P_TotDisab",9385,"All"
"Amritsar","PUNJAB","0-14","In-Hearing","Disab_P_TotDisab",2005,"All"
"Amritsar","PUNJAB","15-59","In-Hearing","Disab_P_TotDisab",6122,"All"
"Amritsar","PUNJAB","60+","In-Hearing","Disab_P_TotDisab",1249,"All"
"Amritsar","PUNJAB","Age not stated","In-Hearing","Disab_P_TotDisab",9,"All"
"Amritsar","PUNJAB","Total","In-Speech","Disab_P_TotDisab",803,"All"
"Amritsar","PUNJAB","0-14","In-Speech","Disab_P_TotDisab",171,"All"
"Amritsar","PUNJAB","15-59","In-Speech","Disab_P_TotDisab",537,"All"
"Amritsar","PUNJAB","60+","In-Speech","Disab_P_TotDisab",95,"All"
"Amritsar","PUNJAB","Age not stated","In-Speech","Disab_P_TotDisab",0,"All"
"Amritsar","PUNJAB","Total","In-Movement","Disab_P_TotDisab",3488,"All"
"Amritsar","PUNJAB","0-14","In-Movement","Disab_P_TotDisab",256,"All"
"Amritsar","PUNJAB","15-59","In-Movement","Disab_P_TotDisab",2464,"All"
"Amritsar","PUNJAB","60+","In-Movement","Disab_P_TotDisab",764,"All"
"Amritsar","PUNJAB","Age not stated","In-Movement","Disab_P_TotDisab",4,"All"
"Amritsar","PUNJAB","Total","Mental-Retardation","Disab_P_TotDisab",2074,"All"
"Amritsar","PUNJAB","0-14","Mental-Retardation","Disab_P_TotDisab",340,"All"
"Amritsar","PUNJAB","15-59","Mental-Retardation","Disab_P_TotDisab",1553,"All"
"Amritsar","PUNJAB","60+","Mental-Retardation","Disab_P_TotDisab",177,"All"
"Amritsar","PUNJAB","Age not stated","Mental-Retardation","Disab_P_TotDisab",4,"All"
"Amritsar","PUNJAB","Total","Mental-Illness","Disab_P_TotDisab",853,"All"
"Amritsar","PUNJAB","0-14","Mental-Illness","Disab_P_TotDisab",81,"All"
"Amritsar","PUNJAB","15-59","Mental-Illness","Disab_P_TotDisab",645,"All"
"Amritsar","PUNJAB","60+","Mental-Illness","Disab_P_TotDisab",127,"All"
"Amritsar","PUNJAB","Age not stated","Mental-Illness","Disab_P_TotDisab",0,"All"
"Amritsar","PUNJAB","Total","Any-Other","Disab_P_TotDisab",7302,"All"
"Amritsar","PUNJAB","0-14","Any-Other","Disab_P_TotDisab",1432,"All"
"Amritsar","PUNJAB","15-59","Any-Other","Disab_P_TotDisab",4932,"All"
"Amritsar","PUNJAB","60+","Any-Other","Disab_P_TotDisab",932,"All"
"Amritsar","PUNJAB","Age not stated","Any-Other","Disab_P_TotDisab",6,"All"
"Amritsar","PUNJAB","Total","Multiple-Disability","Disab_P_TotDisab",1128,"All"
"Amritsar","PUNJAB","0-14","Multiple-Disability","Disab_P_TotDisab",250,"All"
"Amritsar","PUNJAB","15-59","Multiple-Disability","Disab_P_TotDisab",704,"All"
"Amritsar","PUNJAB","60+","Multiple-Disability","Disab_P_TotDisab",174,"All"
"Amritsar","PUNJAB","Age not stated","Multiple-Disability","Disab_P_TotDisab",0,"All"
"Ludhiana","PUNJAB","Total","Total","Disab_P_TotDisab",34830,"All"
"Ludhiana","PUNJAB","0-14","Total","Disab_P_TotDisab",7029,"All"
"Ludhiana","PUNJAB","15-59","Total","Disab_P_TotDisab",23117,"All"
"Ludhiana","PUNJAB","60+","Total","Disab_P_TotDisab",4657,"All"
"Ludhiana","PUNJAB","Age not stated","Total","Disab_P_TotDisab",27,"All"
"Ludhiana","PUNJAB","Total","In-Seeing","Disab_P_TotDisab",5116,"All"
"Ludhiana","PUNJAB","0-14","In-Seeing","Disab_P_TotDisab",995,"All"
"Ludhiana","PUNJAB","15-59","In-Seeing","Disab_P_TotDisab",3150,"All"
"Ludhiana","PUNJAB","60+","In-Seeing","Disab_P_TotDisab",965,"All"
"Ludhiana","PUNJAB","Age not stated","In-Seeing","Disab_P_TotDisab",6,"All"
"Ludhiana","PUNJAB","Total","In-Hearing","Disab_P_TotDisab",10842,"All"
"Ludhiana","PUNJAB","0-14","In-Hearing","Disab_P_TotDisab",2392,"All"
"Ludhiana","PUNJAB","15-59","In-Hearing","Disab_P_TotDisab",7144,"All"
"Ludhiana","PUNJAB","60+","In-Hearing","Disab_P_TotDisab",1299,"All"
"Ludhiana","PUNJAB","Age not stated","In-Hearing","Disab_P_TotDisab",7,"All"
"Ludhiana","PUNJAB","Total","In-Speech","Disab_P_TotDisab",1188,"All"
"Ludhiana","PUNJAB","0-14","In-Speech","Disab_P_TotDisab",251,"All"
"Ludhiana","PUNJAB","15-59","In-Speech","Disab_P_TotDisab",818,"All"
"Ludhiana","PUNJAB","60+","In-Speech","Disab_P_TotDisab",119,"All"
"Ludhiana","PUNJAB","Age not stated","In-Speech","Disab_P_TotDisab",0,"All"
"Ludhiana","PUNJAB","Total","In-Movement","Disab_P_TotDisab",3918,"All"
"Ludhiana","PUNJAB","0-14","In-Movement","Disab_P_TotDisab",400,"All"
"Ludhiana","PUNJAB","15-59","In-Movement","Disab_P_TotDisab",2741,"All"
"Ludhiana","PUNJAB","60+","In-Movement","Disab_P_TotDisab",776,"All"
"Ludhiana","PUNJAB","Age not stated","In-Movement","Disab_P_TotDisab",1,"All"
"Ludhiana","PUNJAB","Total","Mental-Retardation","Disab_P_TotDisab",1993,"All"
